run_key,dataset,exog,loss,fold,checkpoint,anchoring,mse,rmse,mae,corr,corr_h1,corr_hN,corr_valid_horizons,corr_total_horizons,corr_invalid_reasons,seg_mse_median,seg_mse_p90,n_segments,n_windows,exog_in,exog_cols_actual,input_cols_actual,seq_len,config_hash,plan_id,eval_version,eval_code_hash,persist_mse,improve_mse_pct
drycut__full__huber__f2,drycut,full,huber,2,best_mse,anchored,3679.007568359375,60.654823303222656,39.924808502197266,0.9812309528866398,0.9994072861103546,0.9507140072609096,15,15,,6807.03564453125,10572.292578125,15,6240,9,"Past10Min,Past1Hr,Now,north_gate_opening_1,north_gate_opening_2,north_gate_opening_3,south_gate_opening_1,south_gate_opening_2,south_gate_opening_3","HL02,HL03,HL04,HL05,HL06",60,96740dc424c0b5d5,d896860175be,v1-corr-skip-constant,2569904e,2664.152587890625,-38.09297504510707
drycut__full__huber__f2,drycut,full,huber,2,best_mse,persistence,2664.152587890625,51.61542892456055,22.6044864654541,0.9814154288700294,0.9994072861112783,0.9528790542880219,15,15,,27.880918502807617,4127.38583984375,15,6240,9,"Past10Min,Past1Hr,Now,north_gate_opening_1,north_gate_opening_2,north_gate_opening_3,south_gate_opening_1,south_gate_opening_2,south_gate_opening_3","HL02,HL03,HL04,HL05,HL06",60,96740dc424c0b5d5,d896860175be,v1-corr-skip-constant,2569904e,2664.152587890625,0.0
drycut__full__huber__f3,drycut,full,huber,3,best_corr,raw,44526.9921875,211.0142059326172,113.67650604248047,0.7173320472563399,0.7262379625799751,0.6971109868432857,15,15,,1603.079345703125,68249.44218749998,15,6240,9,"Past10Min,Past1Hr,Now,north_gate_opening_1,north_gate_opening_2,north_gate_opening_3,south_gate_opening_1,south_gate_opening_2,south_gate_opening_3","HL02,HL03,HL04,HL05,HL06",60,946525d9327ae8dd,d896860175be,v1-corr-skip-constant,2569904e,2664.152587890625,-1571.3379102191284
drycut__full__huber__f3,drycut,full,huber,3,best_corr,anchored,2014.1605224609375,44.879398345947266,23.982688903808594,0.9885287683437797,0.9994072861322046,0.9710481047780513,15,15,,618.5361328125,3167.0792968749993,15,6240,9,"Past10Min,Past1Hr,Now,north_gate_opening_1,north_gate_opening_2,north_gate_opening_3,south_gate_opening_1,south_gate_opening_2,south_gate_opening_3","HL02,HL03,HL04,HL05,HL06",60,946525d9327ae8dd,d896860175be,v1-corr-skip-constant,2569904e,2664.152587890625,24.397704109895844
drycut__full__huber__f3,drycut,full,huber,3,best_corr,persistence,2664.152587890625,51.61542892456055,22.6044864654541,0.9814154296822222,0.9994072861322046,0.9528790563447639,15,15,,27.88093376159668,4127.38583984375,15,6240,9,"Past10Min,Past1Hr,Now,north_gate_opening_1,north_gate_opening_2,north_gate_opening_3,south_gate_opening_1,south_gate_opening_2,south_gate_opening_3","HL02,HL03,HL04,HL05,HL06",60,946525d9327ae8dd,d896860175be,v1-corr-skip-constant,2569904e,2664.152587890625,0.0
drycut__full__huber__f3,drycut,full,huber,3,best_mse,raw,44526.9921875,211.0142059326172,113.67650604248047,0.7173320472563399,0.7262379625799751,0.6971109868432857,15,15,,1603.079345703125,68249.44218749998,15,6240,9,"Past10Min,Past1Hr,Now,north_gate_opening_1,north_gate_opening_2,north_gate_opening_3,south_gate_opening_1,south_gate_opening_2,south_gate_opening_3","HL02,HL03,HL04,HL05,HL06",60,946525d9327ae8dd,d896860175be,v1-corr-skip-constant,2569904e,2664.152587890625,-1571.3379102191284
drycut__full__huber__f3,drycut,full,huber,3,best_mse,anchored,2014.1605224609375,44.879398345947266,23.982688903808594,0.9885287683437797,0.9994072861322046,0.9710481047780513,15,15,,618.5361328125,3167.0792968749993,15,6240,9,"Past10Min,Past1Hr,Now,north_gate_opening_1,north_gate_opening_2,north_gate_opening_3,south_gate_opening_1,south_gate_opening_2,south_gate_opening_3","HL02,HL03,HL04,HL05,HL06",60,946525d9327ae8dd,d896860175be,v1-corr-skip-constant,2569904e,2664.152587890625,24.397704109895844
drycut__full__huber__f3,drycut,full,huber,3,best_mse,persistence,2664.152587890625,51.61542892456055,22.6044864654541,0.9814154296822222,0.9994072861322046,0.9528790563447639,15,15,,27.88093376159668,4127.38583984375,15,6240,9,"Past10Min,Past1Hr,Now,north_gate_opening_1,north_gate_opening_2,north_gate_opening_3,south_gate_opening_1,south_gate_opening_2,south_gate_opening_3","HL02,HL03,HL04,HL05,HL06",60,946525d9327ae8dd,d896860175be,v1-corr-skip-constant,2569904e,2664.152587890625,0.0
old__none__mse__f1,old,none,mse,1,best_corr,raw,68259.7734375,261.2657165527344,228.28294372558594,0.6550017230817964,0.7532556933629365,0.5814088103110462,15,15,,69661.734375,134269.62499999997,19,5523,0,,"HL02,HL03,HL04,HL05,HL06",60,55407356d4287c7d,d896860175be,v1-corr-skip-constant,2569904e,2989.240478515625,-2183.5156263973763
old__none__mse__f1,old,none,mse,1,best_corr,anchored,22990.8046875,151.627197265625,100.32877349853516,0.9067448811222465,0.9993983800329307,0.8356887241853452,15,15,,9413.2119140625,99363.7578125,19,5523,0,,"HL02,HL03,HL04,HL05,HL06",60,55407356d4287c7d,d896860175be,v1-corr-skip-constant,2569904e,2989.240478515625,-669.1186056371283
old__none__mse__f1,old,none,mse,1,best_corr,persistence,2989.240478515625,54.673946380615234,24.723085403442383,0.9804422418260325,0.9993983800329307,0.9503197684805421,15,15,,93.80086517333984,6757.759179687499,19,5523,0,,"HL02,HL03,HL04,HL05,HL06",60,55407356d4287c7d,d896860175be,v1-corr-skip-constant,2569904e,2989.240478515625,0.0
old__none__mse__f1,old,none,mse,1,best_mse,raw,76784.3046875,277.0998229980469,210.92213439941406,0.7300188448195951,0.7142457077873974,0.7178782936355864,15,15,,59375.0546875,227202.2375,19,5523,0,,"HL02,HL03,HL04,HL05,HL06",60,55407356d4287c7d,d896860175be,v1-corr-skip-constant,2569904e,2989.240478515625,-2468.6894460103454
old__none__mse__f1,old,none,mse,1,best_mse,anchored,14952.6669921875,122.28109741210938,86.07532501220703,0.9457654096165912,0.9993983800282025,0.908146859099143,15,15,,8826.7705078125,54498.42421875,19,5523,0,,"HL02,HL03,HL04,HL05,HL06",60,55407356d4287c7d,d896860175be,v1-corr-skip-constant,2569904e,2989.240478515625,-400.21626227986127
old__none__mse__f1,old,none,mse,1,best_mse,persistence,2989.240478515625,54.673946380615234,24.723085403442383,0.9804422418260325,0.9993983800329307,0.9503197684805421,15,15,,93.80086517333984,6757.759179687499,19,5523,0,,"HL02,HL03,HL04,HL05,HL06",60,55407356d4287c7d,d896860175be,v1-corr-skip-constant,2569904e,2989.240478515625,0.0
old__none__mse__f2,old,none,mse,2,best_corr,raw,59215.0,243.34132385253906,180.33169555664062,0.760888391850168,0.7457090632857283,0.7425818297223767,15,15,,51554.734375,149089.99687499998,19,5523,0,,"HL02,HL03,HL04,HL05,HL06",60,fa21f1aa2096f87e,d896860175be,v1-corr-skip-constant,2569904e,2989.240478515625,-1880.9379815907132
old__none__mse__f2,old,none,mse,2,best_corr,anchored,8570.251953125,92.57565307617188,62.1037483215332,0.9671020051510072,0.9993983800483817,0.9639715896340374,15,15,,7038.91552734375,29044.597265624998,19,5523,0,,"HL02,HL03,HL04,HL05,HL06",60,fa21f1aa2096f87e,d896860175be,v1-corr-skip-constant,2569904e,2989.240478515625,-186.70332864556792
old__none__mse__f2,old,none,mse,2,best_corr,persistence,2989.240478515625,54.673946380615234,24.723085403442383,0.9804422418521448,0.9993983800483817,0.9503197685227978,15,15,,93.80088806152344,6757.759179687499,19,5523,0,,"HL02,HL03,HL04,HL05,HL06",60,fa21f1aa2096f87e,d896860175be,v1-corr-skip-constant,2569904e,2989.240478515625,0.0
old__none__mse__f2,old,none,mse,2,best_mse,raw,84574.046875,290.816162109375,213.1762237548828,0.7349044734322905,0.7361646244131754,0.7200687015617717,15,15,,98385.65625,265250.36875,19,5523,0,,"HL02,HL03,HL04,HL05,HL06",60,fa21f1aa2096f87e,d896860175be,v1-corr-skip-constant,2569904e,2989.240478515625,-2729.2821364775964
old__none__mse__f2,old,none,mse,2,best_mse,anchored,3389.765869140625,58.22169494628906,35.951637268066406,0.9840447711875399,0.9993983800483817,0.9665726058204093,15,15,,3127.503662109375,5230.553222656249,19,5523,0,,"HL02,HL03,HL04,HL05,HL06",60,fa21f1aa2096f87e,d896860175be,v1-corr-skip-constant,2569904e,2989.240478515625,-13.398901610749295
old__none__mse__f2,old,none,mse,2,best_mse,persistence,2989.240478515625,54.673946380615234,24.723085403442383,0.9804422418521448,0.9993983800483817,0.9503197685227978,15,15,,93.80088806152344,6757.759179687499,19,5523,0,,"HL02,HL03,HL04,HL05,HL06",60,fa21f1aa2096f87e,d896860175be,v1-corr-skip-constant,2569904e,2989.240478515625,0.0
old__none__mse__f3,old,none,mse,3,best_corr,raw,38028.3203125,195.00851440429688,137.2522430419922,0.7978417308503136,0.8106923721693029,0.7747013863891848,15,15,,9061.75390625,97176.84062499998,19,5523,0,,"HL02,HL03,HL04,HL05,HL06",60,3a39902c9607f9c8,d896860175be,v1-corr-skip-constant,2569904e,2989.240478515625,-1172.1733358630224
old__none__mse__f3,old,none,mse,3,best_corr,anchored,2456.1669921875,49.559730529785156,27.51572608947754,0.9862703004711961,0.9993983800438022,0.9663296405118396,15,15,,388.76483154296875,4594.079003906248,19,5523,0,,"HL02,HL03,HL04,HL05,HL06",60,3a39902c9607f9c8,d896860175be,v1-corr-skip-constant,2569904e,2989.240478515625,17.83307466091971
old__none__mse__f3,old,none,mse,3,best_corr,persistence,2989.240478515625,54.673946380615234,24.723085403442383,0.9804422419340377,0.9993983800438022,0.950319768758165,15,15,,93.80087280273438,6757.759179687499,19,5523,0,,"HL02,HL03,HL04,HL05,HL06",60,3a39902c9607f9c8,d896860175be,v1-corr-skip-constant,2569904e,2989.240478515625,0.0
old__none__mse__f3,old,none,mse,3,best_mse,raw,39947.72265625,199.8692626953125,140.75387573242188,0.7965736513252702,0.8089071714331862,0.7717961226638584,15,15,,11913.5087890625,103455.70624999999,19,5523,0,,"HL02,HL03,HL04,HL05,HL06",60,3a39902c9607f9c8,d896860175be,v1-corr-skip-constant,2569904e,2989.240478515625,-1236.3837049365445
old__none__mse__f3,old,none,mse,3,best_mse,anchored,2428.56982421875,49.280521392822266,28.475984573364258,0.9863406785425308,0.9993983800438022,0.9663839594694065,15,15,,886.4223022460938,4114.206054687498,19,5523,0,,"HL02,HL03,HL04,HL05,HL06",60,3a39902c9607f9c8,d896860175be,v1-corr-skip-constant,2569904e,2989.240478515625,18.75629138326431
old__none__mse__f3,old,none,mse,3,best_mse,persistence,2989.240478515625,54.673946380615234,24.723085403442383,0.9804422419340377,0.9993983800438022,0.950319768758165,15,15,,93.80087280273438,6757.759179687499,19,5523,0,,"HL02,HL03,HL04,HL05,HL06",60,3a39902c9607f9c8,d896860175be,v1-corr-skip-constant,2569904e,2989.240478515625,0.0
old__none__huber__f1,old,none,huber,1,best_corr,raw,101241.0859375,318.1840515136719,279.63623046875,0.5559206889547936,0.677584537308824,0.5316817884942803,15,15,,103719.4296875,230694.51874999996,19,5523,0,,"HL02,HL03,HL04,HL05,HL06",60,8e03098f899a9aa8,d896860175be,v1-corr-skip-constant,2569904e,2989.240478515625,-3286.849825738127
old__none__huber__f1,old,none,huber,1,best_corr,anchored,17549.751953125,132.47547912597656,87.8753890991211,0.9270807626708204,0.9993983800329307,0.9024938898705509,15,15,,10812.3095703125,68636.62812499999,19,5523,0,,"HL02,HL03,HL04,HL05,HL06",60,8e03098f899a9aa8,d896860175be,v1-corr-skip-constant,2569904e,2989.240478515625,-487.0973606593112
old__none__huber__f1,old,none,huber,1,best_corr,persistence,2989.240478515625,54.673946380615234,24.723085403442383,0.9804422418260325,0.9993983800329307,0.9503197684805421,15,15,,93.80086517333984,6757.759179687499,19,5523,0,,"HL02,HL03,HL04,HL05,HL06",60,8e03098f899a9aa8,d896860175be,v1-corr-skip-constant,2569904e,2989.240478515625,0.0
old__none__huber__f1,old,none,huber,1,best_mse,raw,66882.8125,258.61712646484375,201.25048828125,0.7157390080426604,0.6895168043156262,0.7163740105865495,15,15,,54897.6328125,180533.59375,19,5523,0,,"HL02,HL03,HL04,HL05,HL06",60,8e03098f899a9aa8,d896860175be,v1-corr-skip-constant,2569904e,2989.240478515625,-2137.4517199503525
old__none__huber__f1,old,none,huber,1,best_mse,anchored,15760.2041015625,125.5396499633789,85.27406311035156,0.9374599734207514,0.9993983800330157,0.9086837772340501,15,15,,7699.02685546875,63380.690624999996,19,5523,0,,"HL02,HL03,HL04,HL05,HL06",60,8e03098f899a9aa8,d896860175be,v1-corr-skip-constant,2569904e,2989.240478515625,-427.2310546720746
old__none__huber__f1,old,none,huber,1,best_mse,persistence,2989.240478515625,54.673946380615234,24.723085403442383,0.9804422418260325,0.9993983800329307,0.9503197684805421,15,15,,93.80086517333984,6757.759179687499,19,5523,0,,"HL02,HL03,HL04,HL05,HL06",60,8e03098f899a9aa8,d896860175be,v1-corr-skip-constant,2569904e,2989.240478515625,0.0
old__none__huber__f2,old,none,huber,2,best_corr,raw,46823.17578125,216.3866424560547,163.27401733398438,0.761963961712686,0.7578182457812757,0.7469276517180908,15,15,,27982.259765625,134266.88124999998,19,5523,0,,"HL02,HL03,HL04,HL05,HL06",60,31f0015bf82145a6,d896860175be,v1-corr-skip-constant,2569904e,2989.240478515625,-1466.3903964160522
old__none__huber__f2,old,none,huber,2,best_corr,anchored,5636.27783203125,75.07514953613281,49.617069244384766,0.975859288705321,0.9993983800483817,0.9639388376918647,15,15,,4297.4619140625,17022.440625,19,5523,0,,"HL02,HL03,HL04,HL05,HL06",60,31f0015bf82145a6,d896860175be,v1-corr-skip-constant,2569904e,2989.240478515625,-88.55217144758026
old__none__huber__f2,old,none,huber,2,best_corr,persistence,2989.240478515625,54.673946380615234,24.723085403442383,0.9804422418521448,0.9993983800483817,0.9503197685227978,15,15,,93.80088806152344,6757.759179687499,19,5523,0,,"HL02,HL03,HL04,HL05,HL06",60,31f0015bf82145a6,d896860175be,v1-corr-skip-constant,2569904e,2989.240478515625,0.0
